id,ticker,title,category,content,release_date,provider,url,article_id
0,221515,NIO,Why Shares of Chinese Electric Car Maker NIO Are Flying High Today,news,"What s happening
Shares of Chinese electric car maker NIO  NYSE NIO  were sharply higher on Wednesday morning after a Chinese business news outlet reported that the cash strapped company had secured new financing from a major automaker  As of 12 p m  EST  NIO s American depositary shares  ADS  were up about 16  from Tuesday s closing price 
So what
According to a report from Chinese business news site Sina Finance that cites a person familiar with the matter  NIO will soon receive a cash infusion of about  1 billion from Guangzhou based GAC Group  OTC GNZUF    At press time  neither NIO nor GAC had confirmed    or denied    the report  

GAC is one of China s big domestic automakers  It has significant joint ventures with Honda Motor and Fiat Chrysler Automobiles  among others  If GAC has in fact decided to make a major investment in NIO    and as of now  neither company has confirmed the report    then NIO s future is bright  
That s an important development  In its 15 months as a public company  NIO has seen rising sales and strong customer loyalty  but its rapidly declining cash has called its future into question  As of Sept  30  the company had just  274 3 million remaining  down from  1 123 billion on March 31 
Now what
If this report is accurate and if the deal closes  then it s extremely bullish for NIO    but I think that auto investors should tread a bit carefully here  Note that an earlier bailout deal fell through at the last minute because of concerns about the company s viability  Use caution with this one ",2020-01-15,The Motley Fool,https://invst.ly/pigqi,2060327
1,221516,NIO,NIO only consumer gainer  Workhorse Group among losers,news,"Gainers  NIO  NYSE NIO   7  
Losers  MGP Ingredients  NASDAQ MGPI   24   Workhorse Group  NASDAQ WKHS   9   China XD Plastics  NASDAQ CXDC   6  ",2020-01-18,Seeking Alpha,https://invst.ly/pje9c,2062196
2,221517,NIO,NIO leads consumer gainers  Beyond Meat and Mattel among losers,news,"Gainers  NIO  NYSE NIO   14   Village Farms International  NASDAQ VFF   14   Purple Innovation  NASDAQ PRPL   7   KBS Fashion  NASDAQ KBSF   7   New Age Beverages  NASDAQ NBEV   6  
Losers  CTI Industries  NASDAQ CTIB   13   Dogness  International   NASDAQ DOGZ   5   Calyxt  NASDAQ CLXT   7   Mattel  NASDAQ MAT   6   Beyond Meat  NASDAQ BYND   6  ",2020-01-15,Seeking Alpha,https://invst.ly/pifmv,2060249
3,221518,NIO,NIO  NVAX among premarket gainers,news,"Cemtrex  NASDAQ CETX   85  after FY results 
Fluent  NASDAQ FLNT   36  after raising preliminary financials 
OrganiGram Holdings  NASDAQ OGI   24   after Q4 results 
Clovis Oncology  NASDAQ CLVS   22  as FDA accepts Clovis application for new use of Rubraca 
Momenta Pharmaceuticals  NASDAQ MNTA   15  on positive analyst upgrade 
Rockwell Medical  NASDAQ RMTI   12  on Triferic deal in India 
Neovasc  NASDAQ NVCN   11  as FDA accepts Neovasc s Reducer application 
NIO  NYSE NIO   11  on hopes for funding secured 
Oncolytics Biotech  NASDAQ ONCY   11  
Novavax  NASDAQ NVAX   8  as NanoFlu Fast Track d in U S 
TRACON Pharmaceuticals  NASDAQ TCON   7  
PG E  NYSE PCG   6  after Citigroup calls agreement  big step forward  
DURECT  NASDAQ DRRX   5  ",2020-01-15,Seeking Alpha,https://invst.ly/picu8,2060039
4,221519,NIO,PLUG  NIO among premarket gainers,news,"aTyr Pharma  NASDAQ LIFE   63  on Kyorin Pharma deal 
Town Sports International Holdings  NASDAQ CLUB   30  
Pulmatrix  NASDAQ PULM   15  on research collaboration with Nocion Therapeutics to explore new technologies to enable and improve inhaled drug delivery 
Plus Therapeutics  NASDAQ PSTV   14  on shareholder update 
NIO  NYSE NIO   11  on robust December delivery update 
Protalix BioTherapeutics  NYSEMKT PLX   10  
InspireMD  NYSEMKT NSPR   10  on strong preliminary 4Q19 revenue and reports inducement award under NYSE guide 711 a  
Camber Energy  NYSEMKT CEI   10  on regaining compliance with NYSE 
Cellectar Biosciences  NASDAQ CLRB   11  on orphan drug tag for CLR 131 in LPL 
SmileDirectClub  NASDAQ SDC   8  on Walmart deal 
FuelCell Energy  NASDAQ FCEL   9  on transition to seven year life stack design 
Perion Network  NASDAQ PERI   8  on expecting FY2019 adjusted EBITDA to reach at least  30M 
Plug Power  NASDAQ PLUG   7  on  172M order announcement 
Microbot Medical  NASDAQ MBOT   8  
Yuma Energy  NYSEMKT YUMA   7  
Commercial Metals  NYSE CMC   7  on Q1 results 
Denbury Resources  NYSE DNR   7  
Cassava Sciences  NASDAQ SAVA   6  
CannTrust Holdings  NYSE CTST   6  
Kala Pharmaceuticals  NASDAQ KALA   8  
Kratos Defense   Security Solutions  NASDAQ KTOS  5  as defense spending referenced as Iran warnings escalate ",2020-01-06,Seeking Alpha,https://seekingalpha.com/news/3529772-plug-nio-among-premarket-gainers,2053096
5,221520,NIO,NIO leads consumer gainers  Origin Agritech only loser,news,"Gainers  NIO  NYSE NIO   14   Meritor  NYSE MTOR   13   Eastman Kodak  NYSE KODK   8   Village Farms International  NASDAQ VFF   8   The Lovesac  NASDAQ LOVE   8  
Losers  Origin Agritech  NASDAQ SEED   7  ",2019-12-31,Seeking Alpha,https://seekingalpha.com/news/3528961-nio-leads-consumer-gainers-origin-agritech-only-loser,2050524
6,221521,NIO,Beyond Meat tops consumer gainers  NIO and Eastman Kodak among losers,news,"Gainers  Beyond Meat  NASDAQ BYND   7   Purple Innovation  NASDAQ PRPL   6  
Losers  CTI Industries  NASDAQ CTIB   18   Eastman Kodak  NYSE KODK   10   Celsius Holdings  NASDAQ CELH   7   e l f  Beauty  NYSE ELF   7   NIO  NYSE NIO   6  ",2020-01-07,Seeking Alpha,https://seekingalpha.com/news/3530175-beyond-meat-tops-consumer-gainers-nio-and-eastman-kodak-among-losers,2054201
7,221522,NIO,U S  Auto Parts Network leads consumer gainers  NIO leads the losers,news,"Gainers  U S  Auto Parts Network  NASDAQ PRTS   8   Nova LifeStyle  NASDAQ NVFY   5  
Losers  NIO  NYSE NIO   8   Eastman Kodak  NYSE KODK   6   Pyxus International  NYSE PYX   6   The Lovesac  NASDAQ LOVE   5   Planet Green  NYSEMKT PLAG   5  ",2020-01-02,Seeking Alpha,https://seekingalpha.com/news/3529188-u-s-auto-parts-network-leads-consumer-gainers-nio-leads-losers,2051319
8,221523,NIO,SDRL  NIO among premarket gainers,news,"Neovasc  NASDAQ NVCN   121  files U S  application for Reducer 
FuelCell Energy  NASDAQ FCEL   33  on advances in renewable biogas applications 
Sol Gel Technologies  NASDAQ SLGL   18  as Twyneo successful in acne studies 
NIO  NYSE NIO   17  extends earning rally 
NeuroMetrix  NASDAQ NURO   15  
Seadrill  NYSE SDRL   14  on winning two rig contract extensions in Middle East 
resTORbio  NASDAQ TORC   14  
Oncolytics Biotech  NASDAQ ONCY   7  
Bloom Energy  NYSE BE   6  ",2019-12-31,Seeking Alpha,https://seekingalpha.com/news/3528923-sdrl-nio-among-premarket-gainers,2050432
9,221524,NIO,NIO up 6  on robust December delivery update,news,"NIO  NYSE NIO  delivered 3 170   25 4  M M  vehicles in December 2019  led by strong sales of ES6 of 2 537 deliveries up 22 7  M M and the ES8 633 deliveries up 37 3  M M  As of December 31  2019  aggregate deliveries of the ES6 and the ES8 reached 31 913 vehicles  of which 20 565 were delivered in 2019 
William Bin Li  founder  chairman and chief executive officer of NIO said  Our sales also benefited from the expansion of our sales network through the continued launch of more efficient NIO Spaces  With our product offerings further deepened and upgraded in 2020 though the all new ES8  the 100 kWh battery pack and the upcoming EC6  a 5 seater smart premium electric coupe SUV  we expect our order momentum to continue going forward  
NIO   5 7  premarket to   4 05
Source  Press Release",2020-01-06,Seeking Alpha,https://seekingalpha.com/news/3529684-nio-up-6-on-robust-december-delivery-update,2052931
